0.126,-0.000,0.322,0.395996,0.798408,-0.002027
0.121,-0.100,0.269,0.590782,1.000448,-0.008332
0.170,0.045,0.268,0.398755,1.004537,-0.299010
0.120,-0.006,0.269,0.501523,0.996157,-0.299457
0.127,0.000,0.322,0.501964,0.801741,0.003853
0.126,0.000,0.372,0.602030,0.800753,0.003764
0.170,-0.100,0.268,0.397291,1.002329,-0.004747
0.219,0.094,0.317,0.501563,1.002990,-0.297589
0.214,-0.004,0.313,0.589827,1.203004,-0.310998
0.172,-0.050,0.269,0.601747,0.998013,0.005161
0.171,0.050,0.318,0.402555,1.001455,0.003376
0.214,-0.100,0.315,0.601754,1.197082,0.002870
0.221,-0.050,0.268,0.404410,1.001187,0.006511
0.170,-0.100,0.266,0.506764,1.006530,0.003137
0.171,-0.006,0.317,0.399525,1.004989,-0.297481
0.170,-0.100,0.317,0.396178,1.001677,-0.005575
0.175,-0.142,0.273,0.597594,0.803415,0.297917
0.121,-0.101,0.268,0.399718,1.002072,-0.001654
0.219,-0.093,0.267,0.506486,0.999828,0.306659
0.127,-0.000,0.273,0.398940,0.803198,-0.002340
0.169,-0.144,0.268,0.496107,1.003103,0.294733
0.170,-0.094,0.268,0.601674,0.998505,0.301709
0.214,-0.050,0.316,0.488899,1.195315,-0.012165
0.176,-0.093,0.273,0.601769,0.798219,0.301056
0.219,0.044,0.267,0.398421,1.004670,-0.299062
0.171,-0.000,0.268,0.396948,1.000866,-0.004056
0.175,0.092,0.272,0.401907,0.802565,-0.297955
0.121,-0.000,0.317,0.497443,1.004297,-0.004050
