e18, -0.694799, 1.816189, -0.565414, -0.203010, 0.693234, 0.754631, 
e19, -0.125971, 1.906084, -0.612408, -0.444277, 0.019692, 0.018793, 
y0, 0.009719, 0.655190, -0.424694, -0.073499, 0.003351, 0.001515, 
y1, 0.013883, 0.578207, -0.368391, -0.075268, 0.003381, -0.340799, 
y2, 0.013808, 0.576104, -0.327002, -0.125827, 0.003741, -0.767386, 
y3, 0.013814, 0.582249, -0.335494, -0.125188, 0.003746, -1.634362, 
y4, 0.033452, 0.726515, -0.487228, -0.023495, 0.003794, 0.332937, 
y5, 0.112553, 0.673185, -0.460778, -0.028308, 0.007758, 0.910750, 
y6, 0.091147, 0.646147, -0.554378, -0.027540, 0.007690, 1.721650, 
y7, 0.091111, 0.648519, -0.546675, -0.027122, 0.007682, 2.430014, 
y8, -0.001493, 1.345947, -1.675710, 0.961209, -0.000909, 0.031857, 
y9, -1.124860, 0.762585, -0.846875, 0.538015, 1.046576, -1.436331, 
y10, -0.914331, 0.758007, -0.861809, 0.547729, 0.920082, -0.391439, 
y11, 0.346446, 0.881350, -1.298595, 0.940517, -0.234310, 1.245681, 
y12, 1.368936, 0.198565, -0.816936, 1.026463, -1.143931, -0.524881, 
y13, 1.346911, 0.146390, -0.683535, 0.955943, -1.143546, 0.958368, 
y, 1.346907, 0.146478, -0.683554, 0.955949, -1.143545, 0.958351, 
y14, 1.385823, 1.109647, -1.395886, 1.682162, -1.134674, 0.951208, 
y15, 1.540558, 0.917642, -1.267446, 1.680283, -1.131198, 2.095500, 
y16, 1.302598, 0.913102, -0.686067, 0.718723, -1.131865, 2.095498, 
y17, 1.065339, 0.347455, -0.651628, 0.538097, -0.975290, 0.130691, 
y18, 1.109335, 0.478313, -0.388136, 0.160114, -0.997406, 0.913036, 
y19, -0.639720, 0.489235, -0.408328, 0.166384, 0.676196, 0.913031, 
y20, 0.227243, 0.917437, -1.012469, 0.512203, -0.302568, 0.001199, 
y21, 0.227188, 1.255645, -1.665324, 0.992172, -0.302569, 0.001200, 
y22, -0.042042, 0.766898, -1.109606, 0.690574, 0.000289, -0.582095, 
y23, 0.370315, 0.854954, -1.118065, 0.690719, -0.371325, -0.582077, 
y24, 0.292169, 1.100310, -1.085464, 0.366485, -0.371677, -0.582064, 
y25, -0.649192, 0.624593, -0.980951, 0.686190, 0.574671, -0.001616, 
y26, -1.107347, 0.520133, -0.855724, 0.693300, 0.997378, -0.001598, 
y27, -1.577216, 0.486502, -0.351547, 0.721689, 1.477576, -0.001585, 
y28, -0.611151, 0.519935, -0.701135, 0.458534, 0.575324, -0.775259, 
y29, 0.254597, 0.487854, -0.734930, 0.451038, -0.256675, -0.766105, 
z1, -0.133271, 1.853852, -1.303129, 0.977340, 0.003275, -0.001214, 
z2, -0.140767, 1.579931, -0.622115, 0.254062, 0.004148, -0.001216, 
z3, -0.136231, 1.528358, -0.312038, -0.167963, 0.004148, -0.001215, 
z4, -0.104387, 1.622829, -0.202102, -0.468563, 0.004148, -0.001215, 
z5, -0.112063, 1.903053, -1.111151, 0.784833, 0.004159, -0.001214, 
z6, -0.105854, 2.009264, -1.306620, 0.981967, 0.004159, -0.001211, 
z7, -0.110770, 2.106426, -1.535448, 1.208347, 0.004154, -0.001208, 
z8, -0.124939, 2.234847, -1.736185, 1.415451, 0.004159, -0.001205, 
z9, -0.106266, 2.343036, -1.891095, 1.603151, 0.004154, -0.001204, 
z10, -0.336616, 1.962105, -1.349390, 1.127830, 0.188396, -0.001210, 
z11, -0.411119, 1.963833, -1.215567, 0.957011, 0.343629, -0.001218, 
z12, -0.457864, 2.053567, -1.299051, 1.049008, 0.437409, -0.001216, 
z13, 0.204712, 1.954267, -1.276188, 1.024664, -0.380050, -0.001251, 
z14, 0.381320, 1.963600, -1.234819, 1.024581, -0.525029, -0.001241, 
z15, 0.479210, 2.005025, -1.219391, 1.033989, -0.738214, -0.001250, 
z16, 0.231428, 2.190975, -1.607289, 1.360611, -0.414475, -0.001249, 
z17, 0.210355, 2.299307, -1.734005, 1.431496, -0.414426, -0.001245, 
z18, 0.255926, 2.290402, -1.780015, 1.494423, -0.477570, -0.001258, 
z19, -0.059614, 2.142223, -1.638190, 1.363544, -0.079145, -0.001251, 
z20, -0.341712, 2.122029, -1.505821, 1.212576, 0.194053, -0.203217, 
z21, -0.099700, 2.045865, -1.496415, 1.211003, -0.094765, -0.203202, 
z22, 0.062980, 2.050744, -1.495639, 1.211089, -0.239655, -0.203187, 
z23, 0.224775, 2.084034, -1.496133, 1.211065, -0.419297, -0.203188, 
z24, 0.195182, 1.948575, -1.181989, 0.865574, -0.417202, -0.203190, 
z25, 0.194249, 1.826055, -0.978974, 0.636702, -0.417237, -0.203191, 
z26, 0.197332, 1.702577, -0.733686, 0.350695, -0.417234, -0.203193, 
z27, 0.197334, 1.619132, -0.550080, 0.110377, -0.417202, -0.203192, 
z28, -0.377149, 1.623463, -0.610029, 0.280352, 0.265780, 0.193552, 
z29, -0.525819, 1.622638, -0.591459, 0.280310, 0.443002, 0.193556, 
z30, -0.695141, 1.663721, -0.522615, 0.280319, 0.543745, 0.193549, 
m1, -0.558711, 0.878279, -2.528414, 1.392774, 0.638860, -1.534276, 
